"p","q","n"
"a81381586110032159719211323691422778499492338013506931077032130209017210193661","a84018396828696814002420093967710289825248414149937754456294825812795847466267","a6837550396341442695871201084067283683684385973210816713669176246486984618139873613792971265457279816041253438830858974208945476645732757426554071234733487"
"a86839406772814901223681042344632260022813147466406840896490058306377341527643","a105162646547738595412110678098921646395995638354755887610672959378263218884031","a9132261840864830573073501275175245224756079265842082763606733837876195687797238811362458327294917052989575370202420694208347530123256968813344743197768933"
"a79075324689430381769561940448233537034920873642210991227578117091797369079599","a65794589243007754031260224803657043189828143347211706321644854105911137666729","a5202728507198541664712557621231559853141141309088343041058192905337901023233161508389577844567211837128830210958921162089804068769057896871941683134961671"
"a66078127692734605168107101705696650539720801841648603198227169348862100002641","a107407289666464798318442756503831196724473009507692244765535420867517665597029","a7097272601711194983590448883914959670551257228907843165056661541640368212241350914546151727242594282267625214541897556309679475926567134689404855741753589"
"a69966251174247543963748240261985131724085019055530605535206888043218658033271","a60337753251729529869266069239629726813446035112685433665541837789687948876001","a4221606399300279783349601584184241992686657988479005202054232768264682727364051693512345700573693899071022021220833381938987255242834969182079373711429271"
"a95104112225832038695411581167823769730525818550697015878803351787086216088089","a58258459067868687508642306292373213651928572727827651109510940857138294291301","a5540619029294625840664892018817506000220966507438045337159312272170853000097729847877755766874716447065020723122476069019724468564974861249961012842413789"
"a107583768191676804359137316501771108555004225674259570343913365889983374330391","a107533808478690489694017853529548581729837566563120226555296472437273094471941","a11568892324139607356810506321977519795965147831552207428937791221028448966948208020134125184063535838340747561744462662160663951031396194046894464613058931"
"a76636622635422691165172964486576522562593824878387004801841131766503480656507","a81444868464873659418113624784361181942529922646035165734211929348109483777739","a6241659650134160416126263824686646106068395481241872003474523947523919600144065135006371960657133584480584358041906089861770741634714219988802898192097673"
"a68065086663226447213032882225462900122567138330093721535506077453632692427919","a83801714281288652624623249547356811408475365528767046199701294535871580912723","a5703970945082853564859859588464062831713919835021629949509825851993392181797500670598759431376238478517744505452471377296770861565667189900982572907513437"
"a88982124684800404051323455446466992667732903615208332924034720995080953221219","a60266674688661996738756402400903518622541331371706215237619747872773328617729","a5362656761484826365521021383668425433995792305324580998158705723685013532707336153526757499477333764242941927886476021767879444289213149458988999222391651"
"a73416513027761617761510553741492169555677135208707673762063661375080727511837","a86172772793464425539954287152658792227930223410726307444472550221839767613883","a6326504496429722892433241354505022055618550372805738346282616566039424547482019741277319327234878175882472008032173932995056179692081407685092069128033071"
"a109428040287804496603231087768943083389345544485186564283617958096574345484553","a60455996554350192700724108531782329081051864716097740851485027582439868307817","a6615581226588802715833976158751140590408376706625966672208238891628135476159820514880825875995113587489956821483635031326714116930661331553670663022650801"
"a66909929233311208251592415437617883182280993069777759151550991582067571612119","a81488117431062930482715190893525375766812109922695883885555453394910040816719","a5452364170668174209119350478794909911389047310507502083885219342877823263089516042528833486756264245078796499315547342943099085866523616866423794238217561"
"a58568618807481075807009196652473955132793078909434468072354178014301204216047","a78786368666175862301917006904270881193381902021826766665000457093591239770273","a4614408793634925329472903360139751710028519058343673587433236784858253476492936104126406801703331790500198319665186191709909846005060916860693887340170831"
"a67810142568757405173735439165540823282177988566081966463949961980468895822779","a92503644408810933849582884202060450514928791413668192846470339700493082045021","a6272685315491108238562049176204489905574337062551043712396512098026744841249888141418253048011907957927027423336656350265485945286395930439077673715333359"
"a81912453472824857944562596293150006017232318964713967097399021104560278782003","a75898620077166191239189772960062851906224345680873571758244166885186082115209","a6217042185722486269243575008731875282161194325337585418298622192930033445142217073089635185105437240077844495864920409965903842005629874802252840441783627"
"a60004188076043737470641754518714073016929851218654711853189723491194197933627","a79784765927225924183752108055496753717079981251645124718719805016063883677179","a4787420100300390467522179575224052832522977927718496521545909949056818124109596012950370116834626430588817164324888390775855353731859272663021656136598233"
"a94677411419212903164705421530716684604643756717198207489241928462081136968673","a102318248234699892516034264813341993581834118738367034239125531162145674009079","a9687226883809836074591937661031070492961564775988104243313633648219740861105205647013263371349641111958301225321923499450421933938418355342035113140582167"
"a65340613446240616644470014141978443254418937658643498450815615150452391970517","a96291253831521855011730353657138450814982001739957628251336336387981299846689","a6291729594859305216611082015111184302711995652931935192231450472905995457619445816273265771556568837288499488598804691558933229360784656211740666708068213"
"a91788223843235946961520796940807638922222501080898238257372688772611698071203","a72324763075365550576102689452133746188837166536927274884844481179832509827037","a6638561542570659043420595296963578219776927196123790706214327708988552049949242540576135754652618578508022924990999643102164328681948131972357076040515511"
"a58543229006608328369529236957631087155071857500230981771775266712277374034791","a64236161446571781167045928188514837282027193177045610628962480811780567399389","a3760592310072116697837297557392711808000525749158966004552994882113746837180284606784070284272847750771267551566301109684299625436058193863463844878142699"
"a96570829197852550477096145833830562047740219367722815607196356892973181361839","a65525890937904544220364329220298860901831997472415148101043813520366081555017","a6327889621801494002576197704222211985270970589936522071488267771307192476811731518832989442682107933018687755745073520359673472445836489136699582862796263"
"a97053482718197173068299005587234036363486563192186964543045437052031126989953","a105544053642028784338886313904193060546239118270711628769852593703527418667921","a10243417986155116024189965572758028326709802990293872397818292953873592511659459856178519000089683432151549660536820219018371033864043786230428401610397713"
"a84512667823931528713985984198738611883591997962874945399239036822748726466993","a105125148684603412685288661837196578399562205365022776139080196229292256192923","a8884406770723300705325739112142372291916464716103985709712104178167733281412111772398645459862983367228622313142225876630629895960294284326887062399690539"
"a104066556256812457103699200030823837023674849338357264584986222034985195277907","a108027702459675810650988614626447516464720171787891833635247833294781778346093","a11242070975314050194893177802369017272998932052868561316506973346239746959069867329742353053108237426672787036216728765690037529890605135983760767962667351"
"a80124872886336184973379234203590553214779781496801635799254988072061172283829","a65653168017308064090496393055670121184474769543506435018789284202662774891571","a5260451741972080891695925796172247984234205243532814921760944255013426372533316301312827168880263986184973571457933227407932018227189731564351915911705359"
"a107746949293238274775836999626248317620259464282761160737518300256813688747497","a62067436868422779687150253010748894767965384649344233505457011563481288564627","a6687576973023217060444089278717172961473885005645857977786876447063135317646020327402520712569305559173917911961451581436177289018020782041658972568988619"
"a74370723391516370814020534492568017434071335488411742776121548600386701188049","a66606100108312507810354809217570471884292053324420763003453300363562748097241","a4953543847342958104281087142178583740422672263105184882657904324499119098338380206687694660322068008902226479067631606243123727064668065732162408879072809"
"a84250820163311442835513973922599678039695930427445282302697255380115515429441","a90627450753761849813912027589210449596339695445544629497302843476932596461487","a7635437055314553674640271875701273138628060255368439114982472474107650288532135443653735717045984833978942197592416910226258318398683048007719827822438767"
"a85631693088884578211199751765030771762792603562545548166446817817197772818147","a85264663339959345141023491407146985234573677574224878598118273114083985381457","a7301357482454466912889397983709505410264440843668229692535229761327356715899464807258815326154268787812336197940469790054772272585653940444700901686900179"
"a78081732653944102867869735956133817296482766312802422505174081688467667719021","a71289669047631955432761736870803553303001115590801724540860430033432470182123","a5566420879565352247837866532950508010868561130472664803112639416850638783995027514705029781884718423763857962536638217469576120547881165364935059861261583"
"a104267630615545052772772701655770406386662186982402485129748994744367143828601","a114457552906162870504799486739362832387401673921852337879269474916968631482653","a11934217847578995345398793737079613526880465554034652168735367505103819519818545627112996001832343164115172398747734548833722047290623824119392685536758453"
"a62475825881636429488490714613337278009076483146264779240388664375553397190319","a74834630781308256306290909499060149026695505995297178447872938054646073268659","a4675355362609564576169090567235683942356220944727856011927503262432260456131084182923766692856008418195468703718388292999177823073684227953967103040912221"
"a61864937691952627292434506237903534379222719715139706735048907962604212888943","a113188547419915953380640943333413278222241238384888991516319999630143805138457","a7002402433575725767813442016414866006330901266545874055311052077412726420418443379302151978675439345558772952578286499018309662792719939703875952079380951"
"a111378235450710236935103294805666899647613344036521657815062753092021072995737","a91073898815791511766509494866825015406286260061860616105542673206802792881253","a10143650145719387222404575297533369165309442029140373115675395430112900447066129139444194957853135402337226921168803635028592719424287753958062338416218461"
"a103121894390893810969607709439975494024828764475235524503210628057425550505517","a107712984016339359028596755755783441766068759361687374800582433501091468818901","a11107566962260980462830231628465372609496894190973641949611361946070461113547999192366124945754581925355477112390999004518257760130223713232496363474376817"
"a65628935566905698070956201920208143962045593080985712073355574588994570595221","a99272637560009338239585825946950038119376859361368056629618224304264569638897","a6515157533982635354020912695083853110664414179607197840883425766091711764439067798587970408361708343355719255153248016431225916780110611183855194323911237"
"a69203048232430652150187656727523026330763575572229564069466742408526990752579","a79091798299614960748141416726490506132577711629543927119866462692257417519957","a5473393532517930768682354901141303759552546370882622959395146681634579323429164817343317306730566554444621604420683267290581162750334481171693159181719103"
"a90328321402989366760701372794150364306134051893616283134406916485814229388689","a62755468458335250618796509826531247865897251110894527334914764845965938232587","a5668596124699668138305790842206110171839327372463752939831603263182734130933558605845769404762748441487134738066735388334005412649440447631530646109008443"
"a108819136192961304366788101800677139417558826896102171254252836810510676106349","a83388886880157836618471905850591766552762818584519671284078281712985683160361","a9074306638391339706541073844698513445257514919724207334267780974626814211682158353105436977061996523785998140872218141038339884151132252316324932457231989"
"a78757596489877635352869436112418345434553699312089834310177265917959267095087","a86416478277634948970574629246749672550627069883831298386900692556981074334941","a6805954126266249180675548693766172353662359155410394831390199436919995436193353623416289082648274519982233362269634183964152194881622198905612263533534867"
"a99829038005486776541840425333885321497072394833433078516152301570048459615183","a114700095262268739828569890304664130377980963424163280738752065053045965394651","a11450400169169979786590295294866647072500844730015151709693267944180563237765985469139324867200337806676529087360622396147865564257804206867105522186586133"
"a109571728992455166349753737404704695252107037734246180139259473768708533813473","a81719662258128888109843650798286219339263697133378305391228610456509167045067","a8954164686302665317351220420477875433003172134581262860004165470786494747659213342434283460332519278319432837574753958495075049595531203844280100362787691"
"a62589818334669057936596949984678043654844999626968312414911549551280785765693","a70074663149456049284860455878064618591578383436081233431181178088504330952991","a4385960436387582425191267942899116804760876995544602521978623866831371604791813489826781109652744064599839449018261762674460873583018830844823258323537763"
"a73627987138798273161909122036195346245536326391371657060187002595326486993697","a73264321846375743747709877092976340361879387026683148341048137578741629248621","a5394304546637730614427000678369881473982084319179272376275884720144772903264805300166618670330820123629810213359309446453345090718324234321181035272941837"
"a107259673179300365242713907001370916464200161837617434607869931046263213203621","a101838605960526882954991502592297388351153960163870065417247340188478756927359","a10923175592361663617992953928223304942136322646184565804326079035794120757822964011012655842457250342833079360055148999356713108353860876452867908772766939"
"a110788416496853735839510310407309988247049393860109374324797840421433843212257","a85061618225967115570509154719206449953281489339128077145828728020421199572161","a9423841987914809594271586443853686703535566792444244660516115285103131255009704572409463612724305328487123872567452703016127588650873870036308602311177377"
"a114854286866956548441974530605065107932720578886336498563554838923513506006071","a113283005701007825697870840585181790673090421698961137278114461031858399906299","a13011038833934626920619675073876520012108452479562550567199789305047149368123586165934616588183453794564463354352154153514033240282909610502673320125141229"
"a110324686184812943283530851674995142866517112392212038488530736136864398857779","a60563119253753444023878305543426142438000404755512127313966609714421286577441","a6681607126043751357070601129840270711397768295908865850623878053286360153568092240023866018879630011633220016637175070026994466414358546609519624628763539"
"a99952630997510912627623785871146488338999599925212034449049904285394730710713","a60962715221262689889468904014188470110606693498261975702432500440563347329177","a6093383779117211471946503966806457734388308140864499758151556720839742970554702998939920668914974292823735980260728558706795883965955493528789307571373201"
"a75474334383565684980476717786057760876462429066892212077058378067256909109403","a84116069539310399684342898834998617918970353678295036787767197799128698432197","a6348604359441177066160596635406117062805302535323758023286579798951692521197331188448634629591348473763262799580813409182639309453337687026793293650648391"
"a64306117284875711464620152133212932736168684793463826419630638294840708021653","a61665711377585205264521197638134816352133816847140097061703059456491206981043","a3965482468302288788870823098765878138672295916648492288061711424969880852125892357115651339486447314260953634945279619280000934958147003910664803204524079"
"a61255240956791874912014749820153236710404189461932946449132276487888722215267","a97138487249205609289224180125501600919970217767873540354619601991169188139351","a5950241442628344747641929637031840925021394646071008397884745155089979856087576139466040679887226794554521118605207288953233151283008141794534922615671717"
"a101048171670050983252852926418850924216075331076755048253575929589777417710623","a61374790563879077150007915675862654796088203277161827626709027733675354531807","a6201810373112278175441287854484694789550025196149889091176467299917052327154294724159124533664251736130073418318762592982616442466584001218958265975285761"
"a81441155913948030373797438061151787988748513325859415056141809830369826009071","a77471866101317726009781280484753084489066921897751155161889936377586189516113","a6309398326101922060892029941265770657882421614946467514779490113171876007598774679916449903666429586384068570331104556513360016227236569795860331438661023"
"a74156210418571905870946581271456332815005456508565364266642935800543605478823","a61714375563385614637448394150059979803689272847478036554883733954382815363353","a4576504220129195749235386361380685978973480831877159133518569590046868952760199366528568782816164359930377880881251984548581340561154065322438308291773519"
"a104757144288775810627756562257050949705245850195867107646824441666763265326729","a62599594929408686107680768761967106636106420777798832569753885986094486375509","a6557754798438984336142306462578865945464740845202116661214649313931436844628295520824417858237221919264272259115487844912039438692946764052062315868680061"
"a110466694667133281416003684854176633985153014277379617445379548363086358763027","a114031710574817777867434162520543424117111435002143887991039143105519851709131","a12596706154439308834700014111482850967387836207840900122710724013303438471986083117243843282157274494374619383924718028460483569829429152931946024961099537"
"a93479502367335495452794479000557291365566726791679821964318853094179328717993","a113783367475525560717866568714144999532261716483374456055670227086552124915347","a10636412569291796270086492172306678279296500394548927563655349822434366055137415806001959704991959543634631454335101281163058339364851455045257171160738571"
"a65775252753739241445073168407025832644950528424495829319882916757074092084601","a111628286141602268829546576696862739889222520194227587712106418214747644612421","a7342378735430616636220038756322883916734074306742159793719437165158026359570667279628972846702393336445125019458279334129198980096168441109185978587429021"
"a101754721626599805136041252056482387400523567012246911297374031018298197098771","a88793755248512047772354334473943168083692584563951754917772221183517509608657","a9035183847492778822229576130649112609218435180846876091220178282280780637569498754872108782285897653579617194788676859751253389261421188652806632985660547"
"a99458081954207360550861944166512311593860675139106410548541186559785978845251","a107145508563819940552703251378023915626951070513785489005720478368155513359737","a10656486771765630238468344890846321407891028753817700929010792328671339404188450962764977594973190547115061462358968164333606490478996791416258190617058987"
"a75422639310328884479109500924996227758713454104239815895566835222421397571087","a104572936715050541782032438789056776408681205835992369552344203345336730209277","a7887166887481105677066797471699203913773069904987846113472639731154637643735049315697117782930971506549722823799741917489609929987553552732809944994374099"
"a85907948790679640003003341057671032959855658236256370550828770870024551092907","a74171122785934742307973278689005115205048198553013223141247656842352099452617","a6371889018041293636588208700922198033966640759433552645764240991786097639543874678699550345511096732728086469525474862886772015146054555512857703811287619"
"a64614271991306847137023098880612963795216373470656987362480573149510120454899","a91411870316268995475192200534077751680697256349884532566973410688219967405309","a5906511451849473536650891075973187219228030740321471741074429469495004363326822374414154861293302745732095401479432625046466528089417023881412179787658791"
"a98615745839629667479642402505970821026824590667248583855229100247323425518449","a58893263229460708536266160001580240799424904914616477742207980746988367745547","a5807803078302904742674892451529334125325958484909385706147065972520728403599650002103474927337748030974312708991678248210472897043396773983584807786096603"
"a98064297598600340137865716734303256902991175639572763228540416525064127571657","a75700521856053707628098291246810166747951781299077534690235975233269728033229","a7423518503661400164440683525305556273108994044402154738001052435187278111039348267434850105534075077769924277111687254050722034914635482484084794374590453"
"a68415430538842017170326595944165569674561704942487599830128959168329510685681","a84193975196068253777891678504365448682802905494584951795316225331125775171589","a5760167061815595319801445207798756709330592781680971695415524254109206768262222489169063192060536918868246512948490877589304503072437130126394936820317109"
"a84375020486599952907974093972948664700155668793132068524780310675077846833083","a69444048622688438981538606500498081262269516063356955716073683032060451292513","a5859343025211780282375357203622199410420631065776873456451042847489918750396728685307153768466320796001840176383626757268544432292803300765608911118607579"
"a80805193863810960417173949621312820608998096335659505855297036823590451601863","a94851246514543201847583519510982187717786222309223961823306069874424108089967","a7664473362831787080625629162115843923148948597726357264595168210460359030821393556491648763541465743175082285053538564540540276402322117731187072468808521"
"a115231988807007032751950670345041247854169061899590135052044136779845340761681","a92776219716621462702357538068004854351828251795989516431453470066700798796951","a10690788311942149574114219689282476397332626570586647142542136077257713513212086827759053482040320239128157656497144735334802045654171879290574686800434631"
"a69887105420610046210588488581457569730155804651765830833237677242179418965791","a91580305632379391796769525290239458683361729919679730420380949116886825189721","a6400282474181786538351883694801095116862563244164231771882045439631217158081243529503089552121887648263146725160985784199554844263612842978615149183834311"
"a113619324758159312319683725410596300054045257247721020941537859864451925717099","a62222759685015700427457213199433583554427657993037078539693317822938439801639","a7069707940000701505378643369356668317024543490367701470772906606393328608555143992358229939868340610719357382737849719872583936827050711435783948390525261"
"a86642638960036828518681890747720206188854657524276485157913274080461552582339","a111717350765291279162787310886885746911649043257657925814006529836627037758737","a9679486087928926384277702915938273925289620304218803206934636287682629442964750477183056121498094494810216930416743481919460638240848256700133121209145843"
"a102620484237349180992585829315254654949762591540609011446510653608589623425279","a85152070395994122178640723710971729280132423655086657058064699001883634060557","a8738346697849762647439464125169154869210267713023150802642285849309442223290128452846634687577687649934741922983901088239626255680881883327413809650620403"
"a68589135495794879249021804507964193035056503353483723996759804079406935753471","a66384639614304034219345505540878902074174866761256912898948971461393651854597","a4553265041345011715679006554543730109233387586627782755117295334146428433767112657862058578421258578465275947913661954618642178099063417206349686730056187"
"a106278312971235407527510828810681051077326080549691687927006529389834246270501","a77910624337300423455622381064002272490711201510561376896243845905443896364649","a8280209717103964620709533642423639685161554840810336450623154470988686032618413073790853117544712349553542144716482471750887458591752989204563380187919149"
"a91064660080202520530676931891497739592601943526086294785161224123243293776231","a61781308145665320513805560755920774688763266732259827360430823467651566640101","a5626093825595259521345529533147038900939101038012929829633907708023364506564247151664373895574856939261018714320880168776765979022905224077636317205239331"
"a78397515373572673703980470089721992031185460835247634202943516701036216809833","a86750324291440580852650889391040350196511547352524237133049846633342823662423","a6801009882300627899245233775719007596276113018804870692711981248421707512980143064917625739060393767545853640798845798706094477990269678948200226379005359"
"a92979378502553666535754610862052184950866258505202867213892543675444747291517","a91173633983725305307456847570208673195465205624103507565232319549421895384737","a8477267823626085060257467763980437324839613917542477123475074475424352686428216654207838339611423894531252673133711576436376113876616538683973303411376029"
"a87470357310672069286932199108892778180098643077838760117465869517966721165827","a58809462736697683604284057151892600923460355154360504251226070749855988133321","a5144084718827600868002373272787904462987796627467182048986784532242227723029241553690819349088132917881392028096959747459004027379222150816558154625221467"
"a112627556419732971269394924525345846930970796060637060981268905528470332503091","a110764776992093465112433631661381799706080043131989204820463153691799480245127","a12475166169996147258067967505404052155220921363123497294880610545367007298014833098283940482999532582325816761297795189885108333928828332465799388165187557"
"a76637367267356166161990732919418237474500090838185132745505082569316874706213","a87641202212349074014044929643716931500847065287635133667265986836667256462401","a6716591001700423738645953289957361872109742252049846256451912581869834471829433719759378249303641206622426772635706816582677262586752811095729042555597413"
"a84160672614343853583219951755115752484182751173588102177391871937921911503247","a67395095245676778256068656278633379107796544304050962581332730529304794000777","a5672016546783925278662943934721684994615804264286856393212881191651895774455166961553465719629553829671278639514512706808886003382954015118148991356022919"
"a85656721768092339668669971073646649614136200948886951900185602731318402701443","a68227362474877887731594433641819997109042670570515787205649257827580974115289","a5844132204481399211245881307257964236226386440362903269464166766336136839805998999351332942557085386006230567270669342042459013401587742926396474528662027"
"a90356924299482794116158633749263547682124730375066778601638745634655115442359","a69643763354918260092536573290385612045972751678096985086367916743749127235743","a6292796253391443095689018694615686318849811471073238044326399418635689055261732616978703957547731682827349277307732565699304310146890822333225950321037737"
"a107767289058896018427925242902324359240521671532325990442861511558069472863589","a63099179425797606141629392675859861375706092442141836815228591974616014378329","a6800027508559075110821886849789976559905143872755663510283759967523552990854560312497645827551730883794587467201738130439749839098347656744142513254762781"
"a67827267634679123174354201101514178981951512695857725362867300458168427914379","a82966063000770495875046956804252516614633411431053089671433681408183706183437","a5627361359748909747996456855986656269740235732294517477367683109701505626836898568702467250814103234128180755761545934432332593884620671529112819903940623"
"a100691926245079524443138554227808937124386852404220097466127587901795322580649","a101297650411904799736011856798306307423282720627064715738507425061242554475341","a10199855544075367604220252022680274569093124624150025565753004543955461365878608563861285127502496014375585759591819646092713578726448319745106168354276309"
"a112119685342565234256495214756095934901330210829084087105364448200040483092151","a63579258256914946833765960577799431441297467594640348506919408746084637019587","a7128486430078996409427863244552570612966652912980587602731417663707554906971843164841085778883735253153497854738415077324459075820475026614309326512961637"
"a92959979569927693972541657303278530444294611408223176642367713647795086437989","a95086856279544495474135476353826601012152226867155109246710642229564907702577","a8839272217115107155340515115296551478196314524633446898246157560302402078683891920658493187566966862978709405016523917937391914586250303658834496365997653"
"a73203086045134156285945253313310831045649873034533832379110869434343500358839","a64836939024795371445168120819111311665616828457461043382180179062906290683989","a4746264026335212247350003349168760212139909060723704531827240461209926178826668600041612342593733882164917851129038859849890693649265918896406664251928771"
"a95651775081538233361524449135141560993445450486307130320959761392484939113157","a90530857338595511618755252062950444149795003705836297542573657996899288602673","a8659437204090162865460342198585724783305146541857896137221029029124118465269869227817061832292647089725024859553606642162341352418836935471640442359668661"
"a96837953616080560698705295751134051734218103521023271334610002761335763733799","a99393497956775475132010176485753063878523659038352058857687330892181631378439","a9625062944878221443402124165272510261701876829321701941254536993137325888477227883895330710640086670471233964802848565057079031816415328318586737824159761"
"a67929582623491597448370653757162292082698586414453302792572823055937181271831","a81518600602637869309386325611215019701460550828273223544524125792935383585573","a5537524514988301071051637569246043510185983003489518766520352517243257650104207563547062883802315992175535595258029885833086049729187393929044145162894163"
"a67927117677429116166437807301504922742104290183537026356523562241960212848489","a112038763060972331252117888298331420621627973291556128640552125688061427920849","a7610470242876265915500794813456164213166390765559586346027511778651391826726839799247553022694981480096807969570439151041782174848761085826896175121247161"
"a78187401226814880052038480347585330563001582624803865216204592670480703963807","a76867094076741766561035857598437419143237146726332976926075077648435780263027","a6010038325717533998521042911445803369276791766465718811664996171696041601879623365309474305900883132952868899735687802036768094016856384197811935948263789"
"a77014829207766057697338846077068693059507233620569280795399819222163858862529","a84144432405370646099703871878876598635312201560388006899505423793275360518111","a6480369090484035989032276804438564271065438283051188158259169074470033315528883973137934896682046761010097245004974079421735848207797849943422064563762719"
"a104548528265707123996515250413142938806979415633739525580393171723208177510517","a72629254289284833383295023537322551208911275632453319233020637129514694061581","a7593281644980525778166196831768614375012689925862447927233182036960331025082122076090718723047434352097416341891595284426099023219697255788173816073147377"
"a82389771907978440840416372655172647992453661973607513461901165993918239639771","a106813359684973726141034756595813108237098222573943254069709669285358256043623","a8800328341169845225465598899051613370643455523533239866685260304375771225475171991810414301872254838977138651490341814373371785324645680146816167181730333"
"a71928954381739186441980062604422008060579302603073112657316835664530160497457","a85223249245221827499956506941044742475671984205173754358437248807016625771117","a6130019207223149382853378445784303952980534576128450393084981674825876038506987185119266394344462306215997598368657550162745771925746780827572994942549469"
